Rho (density): 0.300000
Map width/height: 1000
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299961
Number of changes on loop 1 is 675940
Number of changes on loop 2 is 663160
Number of changes on loop 3 is 660720
Number of changes on loop 4 is 661024
Number of changes on loop 5 is 662133
Number of changes on loop 6 is 664205
Number of changes on loop 7 is 666066
Number of changes on loop 8 is 667866
Number of changes on loop 9 is 669537
Number of changes on loop 10 is 670708
Number of changes on loop 11 is 671954
Number of changes on loop 12 is 673076
Number of changes on loop 13 is 674270
Number of changes on loop 14 is 675157
Number of changes on loop 15 is 675763
Number of changes on loop 16 is 676159
Number of changes on loop 17 is 676649
Number of changes on loop 18 is 676785
Number of changes on loop 19 is 677011
Number of changes on loop 20 is 676965
Number of changes on loop 21 is 677167
Number of changes on loop 22 is 677163
Number of changes on loop 23 is 677111
Number of changes on loop 24 is 676883
Number of changes on loop 25 is 676686
Number of changes on loop 26 is 676362
Number of changes on loop 27 is 676100
Number of changes on loop 28 is 676087
Number of changes on loop 29 is 675911
Number of changes on loop 30 is 675497
Number of changes on loop 31 is 675404
Number of changes on loop 32 is 675422
Number of changes on loop 33 is 675239
Number of changes on loop 34 is 675299
Number of changes on loop 35 is 674964
Number of changes on loop 36 is 674726
Number of changes on loop 37 is 674290
Number of changes on loop 38 is 674181
Number of changes on loop 39 is 673740
Number of changes on loop 40 is 673597
Number of changes on loop 41 is 673250
Number of changes on loop 42 is 673098
Number of changes on loop 43 is 672780
Number of changes on loop 44 is 672653
Number of changes on loop 45 is 672139
Number of changes on loop 46 is 671979
Number of changes on loop 47 is 671612
Number of changes on loop 48 is 671057
Number of changes on loop 49 is 670934
Number of changes on loop 50 is 670653
Number of changes on loop 51 is 670114
Number of changes on loop 52 is 669766
Number of changes on loop 53 is 669542
Number of changes on loop 54 is 669256
Number of changes on loop 55 is 668820
Number of changes on loop 56 is 668769
Number of changes on loop 57 is 668550
Number of changes on loop 58 is 668108
Number of changes on loop 59 is 667811
Number of changes on loop 60 is 667286
Number of changes on loop 61 is 666965
Number of changes on loop 62 is 666773
Number of changes on loop 63 is 666418
Number of changes on loop 64 is 666193
Number of changes on loop 65 is 665783
Number of changes on loop 66 is 665741
Number of changes on loop 67 is 665311
Number of changes on loop 68 is 664903
Number of changes on loop 69 is 664507
Number of changes on loop 70 is 664249
Number of changes on loop 71 is 663793
Number of changes on loop 72 is 663501
Number of changes on loop 73 is 663067
Number of changes on loop 74 is 662774
Number of changes on loop 75 is 662825
Number of changes on loop 76 is 662356
Number of changes on loop 77 is 662004
Number of changes on loop 78 is 661955
Number of changes on loop 79 is 661632
Number of changes on loop 80 is 661285
Number of changes on loop 81 is 660797
Number of changes on loop 82 is 660473
Number of changes on loop 83 is 660238
Number of changes on loop 84 is 659611
Number of changes on loop 85 is 658991
Number of changes on loop 86 is 658834
Number of changes on loop 87 is 658243
Number of changes on loop 88 is 658028
Number of changes on loop 89 is 657525
Number of changes on loop 90 is 657330
Number of changes on loop 91 is 657320
Number of changes on loop 92 is 656989
Number of changes on loop 93 is 656785
Number of changes on loop 94 is 656444
Number of changes on loop 95 is 656024
Number of changes on loop 96 is 655517
Number of changes on loop 97 is 655197
Number of changes on loop 98 is 654785
Number of changes on loop 99 is 654244
Number of changes on loop 100 is 653997
Number of changes on loop 101 is 653659
Number of changes on loop 102 is 653318
Number of changes on loop 103 is 652833
Number of changes on loop 104 is 652423
Number of changes on loop 105 is 652157
Number of changes on loop 106 is 652041
Number of changes on loop 107 is 651892
Number of changes on loop 108 is 651776
Number of changes on loop 109 is 651605
Number of changes on loop 110 is 650997
Number of changes on loop 111 is 650521
Number of changes on loop 112 is 650260
Number of changes on loop 113 is 649887
Number of changes on loop 114 is 649421
Number of changes on loop 115 is 649011
Number of changes on loop 116 is 648666
Number of changes on loop 117 is 648490
Number of changes on loop 118 is 648074
Number of changes on loop 119 is 647741
Number of changes on loop 120 is 647470
Number of changes on loop 121 is 647243
Number of changes on loop 122 is 646889
Number of changes on loop 123 is 646462
Number of changes on loop 124 is 646086
Number of changes on loop 125 is 645967
Number of changes on loop 126 is 645404
Number of changes on loop 127 is 644841
Number of changes on loop 128 is 644329
Number of changes on loop 129 is 643912
Number of changes on loop 130 is 643439
Number of changes on loop 131 is 643074
Number of changes on loop 132 is 643003
Number of changes on loop 133 is 642680
Number of changes on loop 134 is 642307
Number of changes on loop 135 is 641996
Number of changes on loop 136 is 641694
Number of changes on loop 137 is 641413
Number of changes on loop 138 is 641290
Number of changes on loop 139 is 640893
Number of changes on loop 140 is 640443
Number of changes on loop 141 is 640093
Number of changes on loop 142 is 639718
Number of changes on loop 143 is 639335
Number of changes on loop 144 is 639055
Number of changes on loop 145 is 638758
Number of changes on loop 146 is 638630
Number of changes on loop 147 is 638194
Number of changes on loop 148 is 637996
Number of changes on loop 149 is 637395
Number of changes on loop 150 is 637119
Number of changes on loop 151 is 636859
Number of changes on loop 152 is 636270
Number of changes on loop 153 is 635893
Number of changes on loop 154 is 635327
Number of changes on loop 155 is 634735
Number of changes on loop 156 is 634328
Number of changes on loop 157 is 634058
Number of changes on loop 158 is 633716
Number of changes on loop 159 is 633483
