Rho (density): 0.300000
Map width/height: 2500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299893
Number of changes on loop 1 is 4226001
Number of changes on loop 2 is 4149906
Number of changes on loop 3 is 4138513
Number of changes on loop 4 is 4141899
Number of changes on loop 5 is 4151214
Number of changes on loop 6 is 4163594
Number of changes on loop 7 is 4177271
Number of changes on loop 8 is 4189406
Number of changes on loop 9 is 4201206
Number of changes on loop 10 is 4211990
Number of changes on loop 11 is 4221516
Number of changes on loop 12 is 4229346
Number of changes on loop 13 is 4236476
Number of changes on loop 14 is 4242564
Number of changes on loop 15 is 4247207
Number of changes on loop 16 is 4251639
Number of changes on loop 17 is 4254552
Number of changes on loop 18 is 4257183
Number of changes on loop 19 is 4259405
Number of changes on loop 20 is 4261207
Number of changes on loop 21 is 4263061
Number of changes on loop 22 is 4264667
Number of changes on loop 23 is 4265476
Number of changes on loop 24 is 4266014
Number of changes on loop 25 is 4266277
Number of changes on loop 26 is 4267108
Number of changes on loop 27 is 4266767
Number of changes on loop 28 is 4266538
Number of changes on loop 29 is 4266553
Number of changes on loop 30 is 4266612
Number of changes on loop 31 is 4266468
Number of changes on loop 32 is 4265920
Number of changes on loop 33 is 4265377
Number of changes on loop 34 is 4264525
Number of changes on loop 35 is 4264429
Number of changes on loop 36 is 4263585
Number of changes on loop 37 is 4263410
Number of changes on loop 38 is 4262987
Number of changes on loop 39 is 4262462
Number of changes on loop 40 is 4261336
Number of changes on loop 41 is 4260886
Number of changes on loop 42 is 4260158
Number of changes on loop 43 is 4259354
Number of changes on loop 44 is 4258438
Number of changes on loop 45 is 4257985
Number of changes on loop 46 is 4257139
Number of changes on loop 47 is 4256285
Number of changes on loop 48 is 4255782
Number of changes on loop 49 is 4255056
Number of changes on loop 50 is 4254092
Number of changes on loop 51 is 4253545
Number of changes on loop 52 is 4252762
Number of changes on loop 53 is 4252061
Number of changes on loop 54 is 4251828
Number of changes on loop 55 is 4250988
Number of changes on loop 56 is 4250465
Number of changes on loop 57 is 4249392
Number of changes on loop 58 is 4248790
Number of changes on loop 59 is 4248057
Number of changes on loop 60 is 4247283
Number of changes on loop 61 is 4247029
Number of changes on loop 62 is 4245670
Number of changes on loop 63 is 4244782
Number of changes on loop 64 is 4244005
Number of changes on loop 65 is 4242932
Number of changes on loop 66 is 4242215
Number of changes on loop 67 is 4241215
Number of changes on loop 68 is 4240406
Number of changes on loop 69 is 4239297
Number of changes on loop 70 is 4239073
Number of changes on loop 71 is 4238140
Number of changes on loop 72 is 4237635
Number of changes on loop 73 is 4236671
Number of changes on loop 74 is 4235838
Number of changes on loop 75 is 4235084
Number of changes on loop 76 is 4233784
Number of changes on loop 77 is 4233322
Number of changes on loop 78 is 4232030
Number of changes on loop 79 is 4231426
Number of changes on loop 80 is 4230474
Number of changes on loop 81 is 4229666
Number of changes on loop 82 is 4228781
Number of changes on loop 83 is 4228349
Number of changes on loop 84 is 4227491
Number of changes on loop 85 is 4226954
Number of changes on loop 86 is 4226314
Number of changes on loop 87 is 4225462
Number of changes on loop 88 is 4224200
Number of changes on loop 89 is 4223173
Number of changes on loop 90 is 4222349
Number of changes on loop 91 is 4221871
Number of changes on loop 92 is 4221120
Number of changes on loop 93 is 4220396
Number of changes on loop 94 is 4219716
Number of changes on loop 95 is 4218680
Number of changes on loop 96 is 4217922
Number of changes on loop 97 is 4217280
Number of changes on loop 98 is 4216089
Number of changes on loop 99 is 4214892
Number of changes on loop 100 is 4214022
Number of changes on loop 101 is 4214081
Number of changes on loop 102 is 4213172
Number of changes on loop 103 is 4211842
Number of changes on loop 104 is 4211152
Number of changes on loop 105 is 4210638
Number of changes on loop 106 is 4209623
Number of changes on loop 107 is 4209130
Number of changes on loop 108 is 4208467
Number of changes on loop 109 is 4207829
Number of changes on loop 110 is 4206442
Number of changes on loop 111 is 4205604
Number of changes on loop 112 is 4204477
Number of changes on loop 113 is 4203192
Number of changes on loop 114 is 4202441
Number of changes on loop 115 is 4201394
Number of changes on loop 116 is 4200482
Number of changes on loop 117 is 4200327
Number of changes on loop 118 is 4200271
Number of changes on loop 119 is 4199527
Number of changes on loop 120 is 4198584
Number of changes on loop 121 is 4197832
Number of changes on loop 122 is 4196219
Number of changes on loop 123 is 4195226
Number of changes on loop 124 is 4194541
Number of changes on loop 125 is 4194003
Number of changes on loop 126 is 4193249
Number of changes on loop 127 is 4192200
Number of changes on loop 128 is 4191599
Number of changes on loop 129 is 4190422
Number of changes on loop 130 is 4189856
Number of changes on loop 131 is 4188747
Number of changes on loop 132 is 4187833
Number of changes on loop 133 is 4187323
Number of changes on loop 134 is 4186137
Number of changes on loop 135 is 4184948
Number of changes on loop 136 is 4183809
Number of changes on loop 137 is 4183381
Number of changes on loop 138 is 4182580
Number of changes on loop 139 is 4181876
Number of changes on loop 140 is 4180649
Number of changes on loop 141 is 4180310
Number of changes on loop 142 is 4179108
Number of changes on loop 143 is 4178174
