Rho (density): 0.300000
Map width/height: 3500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.299965
Number of changes on loop 1 is 8282218
Number of changes on loop 2 is 8133226
Number of changes on loop 3 is 8109742
Number of changes on loop 4 is 8116457
Number of changes on loop 5 is 8135726
Number of changes on loop 6 is 8160438
Number of changes on loop 7 is 8188100
Number of changes on loop 8 is 8215096
Number of changes on loop 9 is 8238743
Number of changes on loop 10 is 8258637
Number of changes on loop 11 is 8276565
Number of changes on loop 12 is 8291878
Number of changes on loop 13 is 8304608
Number of changes on loop 14 is 8316987
Number of changes on loop 15 is 8327637
Number of changes on loop 16 is 8337486
Number of changes on loop 17 is 8345148
Number of changes on loop 18 is 8351339
Number of changes on loop 19 is 8355920
Number of changes on loop 20 is 8360197
Number of changes on loop 21 is 8363926
Number of changes on loop 22 is 8366853
Number of changes on loop 23 is 8369346
Number of changes on loop 24 is 8371535
Number of changes on loop 25 is 8372774
Number of changes on loop 26 is 8373959
Number of changes on loop 27 is 8375179
Number of changes on loop 28 is 8375595
Number of changes on loop 29 is 8375565
Number of changes on loop 30 is 8376129
Number of changes on loop 31 is 8376257
Number of changes on loop 32 is 8376369
Number of changes on loop 33 is 8376225
Number of changes on loop 34 is 8375924
Number of changes on loop 35 is 8375399
Number of changes on loop 36 is 8375227
Number of changes on loop 37 is 8374897
Number of changes on loop 38 is 8374188
Number of changes on loop 39 is 8373300
Number of changes on loop 40 is 8372877
Number of changes on loop 41 is 8372500
Number of changes on loop 42 is 8371383
Number of changes on loop 43 is 8370400
Number of changes on loop 44 is 8369430
Number of changes on loop 45 is 8368582
Number of changes on loop 46 is 8367628
Number of changes on loop 47 is 8366951
Number of changes on loop 48 is 8366272
Number of changes on loop 49 is 8364768
Number of changes on loop 50 is 8364040
Number of changes on loop 51 is 8362961
Number of changes on loop 52 is 8362161
Number of changes on loop 53 is 8361113
Number of changes on loop 54 is 8360272
Number of changes on loop 55 is 8359387
Number of changes on loop 56 is 8358776
Number of changes on loop 57 is 8357226
Number of changes on loop 58 is 8356458
Number of changes on loop 59 is 8354999
Number of changes on loop 60 is 8354278
Number of changes on loop 61 is 8353024
Number of changes on loop 62 is 8352092
Number of changes on loop 63 is 8351188
Number of changes on loop 64 is 8349950
Number of changes on loop 65 is 8349120
Number of changes on loop 66 is 8348391
Number of changes on loop 67 is 8347320
Number of changes on loop 68 is 8346062
Number of changes on loop 69 is 8344965
Number of changes on loop 70 is 8343734
Number of changes on loop 71 is 8343068
Number of changes on loop 72 is 8341978
Number of changes on loop 73 is 8341438
Number of changes on loop 74 is 8339982
Number of changes on loop 75 is 8338697
Number of changes on loop 76 is 8337518
Number of changes on loop 77 is 8336750
Number of changes on loop 78 is 8335841
Number of changes on loop 79 is 8334509
Number of changes on loop 80 is 8333737
Number of changes on loop 81 is 8332770
Number of changes on loop 82 is 8331702
Number of changes on loop 83 is 8330757
Number of changes on loop 84 is 8329440
Number of changes on loop 85 is 8328336
Number of changes on loop 86 is 8326725
Number of changes on loop 87 is 8325369
Number of changes on loop 88 is 8324612
Number of changes on loop 89 is 8323570
Number of changes on loop 90 is 8322471
Number of changes on loop 91 is 8321439
Number of changes on loop 92 is 8320774
Number of changes on loop 93 is 8319051
Number of changes on loop 94 is 8317825
Number of changes on loop 95 is 8316613
Number of changes on loop 96 is 8315350
Number of changes on loop 97 is 8314069
Number of changes on loop 98 is 8313018
Number of changes on loop 99 is 8311845
Number of changes on loop 100 is 8310813
Number of changes on loop 101 is 8309343
Number of changes on loop 102 is 8308512
Number of changes on loop 103 is 8307676
Number of changes on loop 104 is 8306332
Number of changes on loop 105 is 8305104
Number of changes on loop 106 is 8303924
Number of changes on loop 107 is 8302821
Number of changes on loop 108 is 8301923
Number of changes on loop 109 is 8300689
Number of changes on loop 110 is 8299300
Number of changes on loop 111 is 8298260
Number of changes on loop 112 is 8296920
Number of changes on loop 113 is 8295707
Number of changes on loop 114 is 8295261
Number of changes on loop 115 is 8294404
Number of changes on loop 116 is 8293337
Number of changes on loop 117 is 8292009
Number of changes on loop 118 is 8290456
Number of changes on loop 119 is 8289687
Number of changes on loop 120 is 8288071
Number of changes on loop 121 is 8286659
Number of changes on loop 122 is 8284985
Number of changes on loop 123 is 8283663
Number of changes on loop 124 is 8283111
Number of changes on loop 125 is 8281477
Number of changes on loop 126 is 8280216
Number of changes on loop 127 is 8279703
Number of changes on loop 128 is 8278579
Number of changes on loop 129 is 8277178
Number of changes on loop 130 is 8275809
Number of changes on loop 131 is 8274629
Number of changes on loop 132 is 8273694
Number of changes on loop 133 is 8272586
Number of changes on loop 134 is 8271189
Number of changes on loop 135 is 8269987
Number of changes on loop 136 is 8269107
Number of changes on loop 137 is 8267539
Number of changes on loop 138 is 8267010
Number of changes on loop 139 is 8266069
Number of changes on loop 140 is 8265015
Number of changes on loop 141 is 8263503
Number of changes on loop 142 is 8262323
Number of changes on loop 143 is 8260945
Number of changes on loop 144 is 8259798
Number of changes on loop 145 is 8259214
Number of changes on loop 146 is 8258088
Number of changes on loop 147 is 8256771
Number of changes on loop 148 is 8255318
Number of changes on loop 149 is 8253971
Number of changes on loop 150 is 8253284
Number of changes on loop 151 is 8252265
Number of changes on loop 152 is 8251121
Number of changes on loop 153 is 8250326
Number of changes on loop 154 is 8248623
Number of changes on loop 155 is 8246988
Number of changes on loop 156 is 8245544
Number of changes on loop 157 is 8244350
Number of changes on loop 158 is 8242680
Number of changes on loop 159 is 8241489
Number of changes on loop 160 is 8239870
Number of changes on loop 161 is 8239285
Number of changes on loop 162 is 8238279
Number of changes on loop 163 is 8237298
Number of changes on loop 164 is 8235784
Number of changes on loop 165 is 8235225
Number of changes on loop 166 is 8234330
Number of changes on loop 167 is 8233465
Number of changes on loop 168 is 8232676
Number of changes on loop 169 is 8231181
Number of changes on loop 170 is 8229909
Number of changes on loop 171 is 8228973
Number of changes on loop 172 is 8227671
Number of changes on loop 173 is 8226700
Number of changes on loop 174 is 8225457
Number of changes on loop 175 is 8224199
Number of changes on loop 176 is 8223058
Number of changes on loop 177 is 8221438
Number of changes on loop 178 is 8219430
Number of changes on loop 179 is 8218372
Number of changes on loop 180 is 8217254
Number of changes on loop 181 is 8216790
Number of changes on loop 182 is 8215998
Number of changes on loop 183 is 8214244
Number of changes on loop 184 is 8212765
Number of changes on loop 185 is 8211893
Number of changes on loop 186 is 8210888
Number of changes on loop 187 is 8210354
Number of changes on loop 188 is 8209070
Number of changes on loop 189 is 8207924
Number of changes on loop 190 is 8207051
Number of changes on loop 191 is 8205614
Number of changes on loop 192 is 8204537
Number of changes on loop 193 is 8203160
Number of changes on loop 194 is 8201169
Number of changes on loop 195 is 8199887
Number of changes on loop 196 is 8198744
Number of changes on loop 197 is 8197989
Number of changes on loop 198 is 8196741
Number of changes on loop 199 is 8194972
Number of changes on loop 200 is 8194140
Number of changes on loop 201 is 8192941
Number of changes on loop 202 is 8192058
Number of changes on loop 203 is 8190527
Number of changes on loop 204 is 8189130
Number of changes on loop 205 is 8188349
Number of changes on loop 206 is 8187247
Number of changes on loop 207 is 8186115
Number of changes on loop 208 is 8184539
Number of changes on loop 209 is 8183664
Number of changes on loop 210 is 8182491
Number of changes on loop 211 is 8181512
Number of changes on loop 212 is 8179689
Number of changes on loop 213 is 8178639
Number of changes on loop 214 is 8177727
Number of changes on loop 215 is 8176412
Number of changes on loop 216 is 8175626
Number of changes on loop 217 is 8174798
Number of changes on loop 218 is 8172846
Number of changes on loop 219 is 8171671
Number of changes on loop 220 is 8170146
Number of changes on loop 221 is 8168762
Number of changes on loop 222 is 8167838
Number of changes on loop 223 is 8166470
Number of changes on loop 224 is 8164559
Number of changes on loop 225 is 8163883
Number of changes on loop 226 is 8162506
Number of changes on loop 227 is 8161703
Number of changes on loop 228 is 8160581
Number of changes on loop 229 is 8159963
Number of changes on loop 230 is 8158160
Number of changes on loop 231 is 8157160
Number of changes on loop 232 is 8155406
Number of changes on loop 233 is 8154148
Number of changes on loop 234 is 8153193
Number of changes on loop 235 is 8152872
Number of changes on loop 236 is 8152233
Number of changes on loop 237 is 8150428
Number of changes on loop 238 is 8148778
Number of changes on loop 239 is 8147272
Number of changes on loop 240 is 8146300
Number of changes on loop 241 is 8146381
Number of changes on loop 242 is 8144886
Number of changes on loop 243 is 8143346
Number of changes on loop 244 is 8141810
Number of changes on loop 245 is 8140497
Number of changes on loop 246 is 8139286
Number of changes on loop 247 is 8137764
Number of changes on loop 248 is 8136581
Number of changes on loop 249 is 8135275
Number of changes on loop 250 is 8134348
Number of changes on loop 251 is 8134006
Number of changes on loop 252 is 8133185
Number of changes on loop 253 is 8132944
Number of changes on loop 254 is 8131466
Number of changes on loop 255 is 8130246
Number of changes on loop 256 is 8128892
Number of changes on loop 257 is 8126488
Number of changes on loop 258 is 8125492
Number of changes on loop 259 is 8123181
Number of changes on loop 260 is 8121572
Number of changes on loop 261 is 8120153
Number of changes on loop 262 is 8119009
Number of changes on loop 263 is 8118014
Number of changes on loop 264 is 8116487
Number of changes on loop 265 is 8115210
Number of changes on loop 266 is 8114388
Number of changes on loop 267 is 8113158
Number of changes on loop 268 is 8112161
Number of changes on loop 269 is 8111919
Number of changes on loop 270 is 8109406
Number of changes on loop 271 is 8109010
Number of changes on loop 272 is 8108363
Number of changes on loop 273 is 8107419
Number of changes on loop 274 is 8106944
Number of changes on loop 275 is 8106064
Number of changes on loop 276 is 8103974
Number of changes on loop 277 is 8103153
Number of changes on loop 278 is 8101173
Number of changes on loop 279 is 8100212
Number of changes on loop 280 is 8099325
Number of changes on loop 281 is 8096241
Number of changes on loop 282 is 8094878
Number of changes on loop 283 is 8094422
Number of changes on loop 284 is 8092666
Number of changes on loop 285 is 8092479
Number of changes on loop 286 is 8090596
Number of changes on loop 287 is 8089692
Number of changes on loop 288 is 8088304
Number of changes on loop 289 is 8087030
Number of changes on loop 290 is 8085733
Number of changes on loop 291 is 8084702
Number of changes on loop 292 is 8083577
Number of changes on loop 293 is 8082320
Number of changes on loop 294 is 8081003
Number of changes on loop 295 is 8079651
Number of changes on loop 296 is 8077344
