Rho (density): 0.300000
Map width/height: 1500
Seed: 1564
Maximum number of clusters: 400
Data file: map.dat
PGM file: map.pgm
rho = 0.300000, actual density = 0.300108
Number of changes on loop 1 is 1520785
Number of changes on loop 2 is 1493269
Number of changes on loop 3 is 1488389
Number of changes on loop 4 is 1488958
Number of changes on loop 5 is 1491641
Number of changes on loop 6 is 1495875
Number of changes on loop 7 is 1500015
Number of changes on loop 8 is 1504389
Number of changes on loop 9 is 1508136
Number of changes on loop 10 is 1511714
Number of changes on loop 11 is 1515235
Number of changes on loop 12 is 1517611
Number of changes on loop 13 is 1519799
Number of changes on loop 14 is 1521879
Number of changes on loop 15 is 1523601
Number of changes on loop 16 is 1525040
Number of changes on loop 17 is 1525923
Number of changes on loop 18 is 1526213
Number of changes on loop 19 is 1526790
Number of changes on loop 20 is 1527477
Number of changes on loop 21 is 1527967
Number of changes on loop 22 is 1528551
Number of changes on loop 23 is 1528743
Number of changes on loop 24 is 1528956
Number of changes on loop 25 is 1529131
Number of changes on loop 26 is 1529165
Number of changes on loop 27 is 1528958
Number of changes on loop 28 is 1528732
Number of changes on loop 29 is 1528884
Number of changes on loop 30 is 1529064
Number of changes on loop 31 is 1528832
Number of changes on loop 32 is 1528654
Number of changes on loop 33 is 1528202
Number of changes on loop 34 is 1527686
Number of changes on loop 35 is 1527452
Number of changes on loop 36 is 1527226
Number of changes on loop 37 is 1526669
Number of changes on loop 38 is 1526313
Number of changes on loop 39 is 1525897
Number of changes on loop 40 is 1525732
Number of changes on loop 41 is 1525425
Number of changes on loop 42 is 1525115
Number of changes on loop 43 is 1524779
Number of changes on loop 44 is 1524395
Number of changes on loop 45 is 1523916
Number of changes on loop 46 is 1523335
Number of changes on loop 47 is 1522967
Number of changes on loop 48 is 1522387
Number of changes on loop 49 is 1522058
Number of changes on loop 50 is 1521433
Number of changes on loop 51 is 1520968
Number of changes on loop 52 is 1520482
Number of changes on loop 53 is 1520030
Number of changes on loop 54 is 1519703
Number of changes on loop 55 is 1519362
Number of changes on loop 56 is 1518913
Number of changes on loop 57 is 1518555
Number of changes on loop 58 is 1518203
Number of changes on loop 59 is 1517908
Number of changes on loop 60 is 1517134
Number of changes on loop 61 is 1516580
Number of changes on loop 62 is 1516030
Number of changes on loop 63 is 1515737
Number of changes on loop 64 is 1515037
Number of changes on loop 65 is 1514625
